QC_ID|ASSAY_CODE|QC_LOT|QC_LEVEL|EXPECTED_VALUE|OBSERVED_VALUE|RUN_DT|INSTRUMENT_ID|QC_STATUS
QC000001|SER013|LOT105|L2|3.50|3.25|07/09/2022 06:00:00|INS06|PASS
QC000002|LOC900|LOT139|L2|3.50|3.10|27/09/2020 06:00:00|INS06|PASS
QC000003|SER014|LOT138|L1|0.25|0.23|20/02/2023 07:00:00|INS05|PASS
QC000004|SER012|LOT130|L2|3.50|3.54|14/12/2022 08:00:00|INS02|PASS
QC000005|SER010|LOT126|L1|0.25|0.22|31/08/2021 06:00:00|INS01|PASS
QC000006|SER014|LOT125|L2|3.50|3.37|15/01/2024 06:00:00|INS01|PASS
QC000007|LOC900|LOT130|L1|0.25|0.24|06/01/2024 06:00:00|INS05|PASS
QC000008|SER013|LOT125|L1|0.25|0.23|19/02/2023 08:00:00|INS02|PASS
QC000009|SER013|LOT104|L1|0.25|0.26|26/01/2023 07:00:00|INS05|PASS
QC000010|SER012|LOT105|L1|0.25|0.27|23/10/2023 06:00:00|INS01|PASS
QC000011|SER014|LOT108|L2|3.50|3.20|28/10/2023 06:00:00|INS04|PASS
QC000012|SER010|LOT104|L1|0.25|0.23|26/04/2023 08:00:00|INS02|PASS
QC000013|SER013|LOT101|L1|0.25|0.22|20/02/2020 07:00:00|INS05|PASS
QC000014|SER012|LOT120|L2|3.50|3.49|06/09/2020 06:00:00|INS05|PASS
QC000015|SER011|LOT103|L2|3.50|3.86|17/01/2020 06:00:00|INS03|PASS
QC000016|SER011|LOT129|L2|3.50|3.55|05/01/2023 06:00:00|INS03|PASS
QC000017|LOC900|LOT118|L2|3.50|3.42|20/02/2023 06:00:00|INS06|PASS
QC000018|SER013|LOT140|L1|0.25|0.24|17/10/2023 07:00:00|INS02|PASS
QC000019|SER012|LOT131|L2|3.50|3.44|15/03/2021 08:00:00|INS02|PASS
QC000020|SER013|LOT111|L2|3.50|3.26|11/03/2021 09:00:00|INS02|PASS
QC000021|SER010|LOT114|L2|3.50|3.49|24/02/2024 08:00:00|INS03|PASS
QC000022|LOC900|LOT118|L1|0.25|0.28|30/05/2023 08:00:00|INS06|PASS
QC000023|SER013|LOT124|L1|0.25|0.26|29/04/2020 08:00:00|INS01|PASS
QC000024|SER014|LOT126|L2|3.50|3.53|15/12/2022 09:00:00|INS03|PASS
QC000025|SER012|LOT102|L1|0.25|0.23|25/01/2023 07:00:00|INS03|PASS
QC000026|SER011|LOT122|L2|3.50|3.48|05/01/2023 09:00:00|INS02|PASS
QC000027|SER013|LOT137|L1|0.25|0.25|07/06/2023 09:00:00|INS06|PASS
QC000028|LOC900|LOT122|L1|0.25|0.24|23/06/2022 06:00:00|INS06|PASS
QC000029|SER010|LOT116|L1|0.25|0.27|14/01/2020 09:00:00|INS05|PASS
QC000030|SER011|LOT129|L1|0.25|0.22|22/09/2024 07:00:00|INS01|PASS
QC000031|SER014|LOT122|L1|0.25|0.25|11/11/2023 07:00:00|INS05|PASS
QC000032|SER012|LOT123|L2|3.50|3.44|30/09/2023 09:00:00|INS06|PASS
QC000033|SER010|LOT111|L1|0.25|0.26|18/01/2021 06:00:00|INS06|PASS
QC000034|SER013|LOT115|L2|3.50|3.34|01/10/2021 09:00:00|INS05|PASS
QC000035|SER010|LOT120|L2|3.50|3.90|27/07/2020 09:00:00|INS02|PASS
QC000036|SER012|LOT118|L1|0.25|0.24|18/05/2022 08:00:00|INS03|PASS
QC000037|SER010|LOT113|L2|3.50|3.68|19/04/2020 09:00:00|INS04|PASS
QC000038|SER012|LOT106|L2|3.50|3.59|16/11/2024 08:00:00|INS04|PASS
QC000039|SER013|LOT109|L1|0.25|0.22|18/04/2023 07:00:00|INS06|PASS
